# snapshot redshift scale_factor
1 13.96  0.06686	
2 12.69  0.07306
3 11.51  0.07994
4 10.44  0.08740
5 9.47   0.09549
6 8.58   0.10430
7 7.76   0.11410
8 7.02   0.12460
9 6.34   0.13610
10 5.73  0.14869
11 5.16  0.16247
12 4.63  0.17760
13 4.27  0.18980
14 3.93  0.20281
15 3.61  0.21694
16 3.31  0.23174
17 3.13  0.24218
18 2.95  0.25311
19 2.78  0.26458
20 2.61  0.27658
21 2.46  0.28916
22 2.30  0.30216
23 2.16  0.31590
24 2.03  0.33016
25 1.90  0.34519
26 1.77  0.36084
27 1.65  0.37723
28 1.54  0.39435
29 1.43  0.41225
30 1.32  0.43083
31 1.22  0.45040
32 1.12  0.47079
33 1.03  0.49215
34 0.94  0.51433
35 0.86  0.53776
36 0.78  0.56206
37 0.70  0.58752
38 0.63  0.61420
39 0.56  0.64189
40 0.49  0.67117
41 0.43  0.70146
42 0.36  0.73310
43 0.30  0.76647
44 0.25  0.80122
45 0.19  0.83735
46 0.14  0.87529
47 0.093 0.91501
48 0.045 0.95645
49 0.022 0.97782
50 0.0   0.99998
