#  N_snap redshift aexp DC_min DC_max N_replicas
1.000000000000000000e+00 1.396000000000000085e+01 6.686000000000000276e-02 1.033708556372180647e+04 1.024374598208274620e+04 4.000000000000000000e+00
2.000000000000000000e+00 1.268999999999999950e+01 7.305999999999999994e-02 1.024374598208274620e+04 1.005124441643337195e+04 4.000000000000000000e+00
3.000000000000000000e+00 1.150999999999999979e+01 7.993999999999999717e-02 1.005124441643337195e+04 9.849218140930031950e+03 4.000000000000000000e+00
4.000000000000000000e+00 1.043999999999999950e+01 8.740000000000000546e-02 9.849218140930031950e+03 9.639804577613203946e+03 4.000000000000000000e+00
5.000000000000000000e+00 9.470000000000000639e+00 9.549000000000000543e-02 9.639804577613203946e+03 9.421607462691041292e+03 4.000000000000000000e+00
6.000000000000000000e+00 8.580000000000000071e+00 1.043000000000000038e-01 9.421607462691041292e+03 9.192414119671433582e+03 4.000000000000000000e+00
7.000000000000000000e+00 7.759999999999999787e+00 1.140999999999999931e-01 9.192414119671433582e+03 8.953717598407873083e+03 4.000000000000000000e+00
8.000000000000000000e+00 7.019999999999999574e+00 1.246000000000000024e-01 8.953717598407873083e+03 8.705521176738144277e+03 4.000000000000000000e+00
9.000000000000000000e+00 6.339999999999999858e+00 1.360999999999999988e-01 8.705521176738144277e+03 8.448584231353612267e+03 3.000000000000000000e+00
1.000000000000000000e+01 5.730000000000000426e+00 1.486899999999999888e-01 8.448584231353612267e+03 8.180403308032587120e+03 3.000000000000000000e+00
1.100000000000000000e+01 5.160000000000000142e+00 1.624700000000000033e-01 8.180403308032587120e+03 7.895302268097186243e+03 3.000000000000000000e+00
1.200000000000000000e+01 4.629999999999999893e+00 1.776000000000000079e-01 7.895302268097186243e+03 7.636534259751403624e+03 3.000000000000000000e+00
1.300000000000000000e+01 4.269999999999999574e+00 1.897999999999999965e-01 7.636534259751403624e+03 7.407946318937864817e+03 3.000000000000000000e+00
1.400000000000000000e+01 3.930000000000000160e+00 2.028099999999999903e-01 7.407946318937864817e+03 7.170180565430171555e+03 3.000000000000000000e+00
1.500000000000000000e+01 3.609999999999999876e+00 2.169399999999999940e-01 7.170180565430171555e+03 6.923722577467805422e+03 3.000000000000000000e+00
